periode_pengujian,nama_lokasi,parameter,satuan,nilai,indeks_pencemaran
Periode 2, Bangka ,Zat Padat Terlarut,(mg/L),254,1.40
Periode 2, Bangka ,Kekeruhan,NTU,1.1,1.40
Periode 2, Bangka ,Besi (Fe),(mg/L),0.13,1.40
Periode 2, Bangka ,Fluorida,(mg/L),0.05,1.40
Periode 2, Bangka ,Total Hardness,(mg/L),93.48,1.40
Periode 2, Bangka ,Chlorida,(mg/L),30.99,1.40
Periode 2, Bangka ,Mangan (Mn),(mg/L),0.05,1.40
Periode 2, Bangka ,Nitrat,(mg/L),6.25,1.40
Periode 2, Bangka ,Nitrit,(mg/L),0.004,1.40
Periode 2, Bangka ,Ph,(mg/L),6.8,1.40
Periode 2, Bangka ,Seng (Zn),(mg/L),0.08,1.40
Periode 2, Bangka ,Sulfat,(mg/L),40.9,1.40
Periode 2, Bangka ,Senyawa Aktif Biru Metilen,(mg/L),0.03,1.40
Periode 2, Bangka ,Organik (KMnO4),(mg/L),1.64,1.40
Periode 2, Bangka ,Suhu,(Celcius),23.9,1.40
Periode 2, Bangka ,Bakteri Koli,(Jlm/100mL),100,1.40
Periode 2, Tegal Parang ,Zat Padat Terlarut,(mg/L),184,0.92
Periode 2, Tegal Parang ,Kekeruhan,NTU,0.1,0.92
Periode 2, Tegal Parang ,Besi (Fe),(mg/L),0.08,0.92
Periode 2, Tegal Parang ,Fluorida,(mg/L),0.05,0.92
Periode 2, Tegal Parang ,Total Hardness,(mg/L),76.09,0.92
Periode 2, Tegal Parang ,Chlorida,(mg/L),10.33,0.92
Periode 2, Tegal Parang ,Mangan (Mn),(mg/L),0.05,0.92
Periode 2, Tegal Parang ,Nitrat,(mg/L),0.43,0.92
Periode 2, Tegal Parang ,Nitrit,(mg/L),0.003,0.92
Periode 2, Tegal Parang ,Ph,(mg/L),7.7,0.92
Periode 2, Tegal Parang ,Seng (Zn),(mg/L),0.01,0.92
Periode 2, Tegal Parang ,Sulfat,(mg/L),11.13,0.92
Periode 2, Tegal Parang ,Senyawa Aktif Biru Metilen,(mg/L),0.03,0.92
Periode 2, Tegal Parang ,Organik (KMnO4),(mg/L),2.55,0.92
Periode 2, Tegal Parang ,Suhu,(Celcius),23.9,0.92
Periode 2, Tegal Parang ,Bakteri Koli,(Jlm/100mL),0,0.92
Periode 2, Mampang Prapatan ,Zat Padat Terlarut,(mg/L),99,1.03
Periode 2, Mampang Prapatan ,Kekeruhan,NTU,4.3,1.03
Periode 2, Mampang Prapatan ,Besi (Fe),(mg/L),0.08,1.03
Periode 2, Mampang Prapatan ,Fluorida,(mg/L),0.05,1.03
Periode 2, Mampang Prapatan ,Total Hardness,(mg/L),43.48,1.03
Periode 2, Mampang Prapatan ,Chlorida,(mg/L),12.3,1.03
Periode 2, Mampang Prapatan ,Mangan (Mn),(mg/L),0.05,1.03
Periode 2, Mampang Prapatan ,Nitrat,(mg/L),3.61,1.03
Periode 2, Mampang Prapatan ,Nitrit,(mg/L),0.003,1.03
Periode 2, Mampang Prapatan ,Ph,(mg/L),6.6,1.03
Periode 2, Mampang Prapatan ,Seng (Zn),(mg/L),0.02,1.03
Periode 2, Mampang Prapatan ,Sulfat,(mg/L),12.87,1.03
Periode 2, Mampang Prapatan ,Senyawa Aktif Biru Metilen,(mg/L),0.03,1.03
Periode 2, Mampang Prapatan ,Organik (KMnO4),(mg/L),1.99,1.03
Periode 2, Mampang Prapatan ,Suhu,(Celcius),23.9,1.03
Periode 2, Mampang Prapatan ,Bakteri Koli,(Jlm/100mL),0,1.03
Periode 2, Kuningan barat ,Zat Padat Terlarut,(mg/L),127,0.80
Periode 2, Kuningan barat ,Kekeruhan,NTU,1.4,0.80
Periode 2, Kuningan barat ,Besi (Fe),(mg/L),0.09,0.80
Periode 2, Kuningan barat ,Fluorida,(mg/L),0.05,0.80
Periode 2, Kuningan barat ,Total Hardness,(mg/L),56.52,0.80
Periode 2, Kuningan barat ,Chlorida,(mg/L),0.98,0.80
Periode 2, Kuningan barat ,Mangan (Mn),(mg/L),0.09,0.80
Periode 2, Kuningan barat ,Nitrat,(mg/L),0.19,0.80
Periode 2, Kuningan barat ,Nitrit,(mg/L),0.003,0.80
Periode 2, Kuningan barat ,Ph,(mg/L),7.5,0.80
Periode 2, Kuningan barat ,Seng (Zn),(mg/L),0.01,0.80
Periode 2, Kuningan barat ,Sulfat,(mg/L),8.32,0.80
Periode 2, Kuningan barat ,Senyawa Aktif Biru Metilen,(mg/L),0.03,0.80
Periode 2, Kuningan barat ,Organik (KMnO4),(mg/L),1.8,0.80
Periode 2, Kuningan barat ,Suhu,(Celcius),23.8,0.80
Periode 2, Kuningan barat ,Bakteri Koli,(Jlm/100mL),0,0.80
Periode 2, Pela Mampang ,Zat Padat Terlarut,(mg/L),241,1.78
Periode 2, Pela Mampang ,Kekeruhan,NTU,0.02,1.78
Periode 2, Pela Mampang ,Besi (Fe),(mg/L),0.08,1.78
Periode 2, Pela Mampang ,Fluorida,(mg/L),0.22,1.78
Periode 2, Pela Mampang ,Total Hardness,(mg/L),97.96,1.78
Periode 2, Pela Mampang ,Chlorida,(mg/L),44.01,1.78
Periode 2, Pela Mampang ,Mangan (Mn),(mg/L),0.43,1.78
Periode 2, Pela Mampang ,Nitrat,(mg/L),2,1.78
Periode 2, Pela Mampang ,Nitrit,(mg/L),0.003,1.78
Periode 2, Pela Mampang ,Ph,(mg/L),6.7,1.78
Periode 2, Pela Mampang ,Seng (Zn),(mg/L),0.01,1.78
Periode 2, Pela Mampang ,Sulfat,(mg/L),32.64,1.78
Periode 2, Pela Mampang ,Senyawa Aktif Biru Metilen,(mg/L),0.04,1.78
Periode 2, Pela Mampang ,Organik (KMnO4),(mg/L),2.43,1.78
Periode 2, Pela Mampang ,Suhu,(Celcius),24.9,1.78
Periode 2, Pela Mampang ,Bakteri Koli,(Jlm/100mL),100,1.78
Periode 2, Guntur ,Zat Padat Terlarut,(mg/L),100.7,0.67
Periode 2, Guntur ,Kekeruhan,NTU,1,0.67
Periode 2, Guntur ,Besi (Fe),(mg/L),0.08,0.67
Periode 2, Guntur ,Fluorida,(mg/L),0.05,0.67
Periode 2, Guntur ,Total Hardness,(mg/L),47.83,0.67
Periode 2, Guntur ,Chlorida,(mg/L),2.95,0.67
Periode 2, Guntur ,Mangan (Mn),(mg/L),0.05,0.67
Periode 2, Guntur ,Nitrat,(mg/L),0.68,0.67
Periode 2, Guntur ,Nitrit,(mg/L),0.003,0.67
Periode 2, Guntur ,Ph,(mg/L),7.5,0.67
Periode 2, Guntur ,Seng (Zn),(mg/L),0.01,0.67
Periode 2, Guntur ,Sulfat,(mg/L),8.5,0.67
Periode 2, Guntur ,Senyawa Aktif Biru Metilen,(mg/L),0.03,0.67
Periode 2, Guntur ,Organik (KMnO4),(mg/L),1.48,0.67
Periode 2, Guntur ,Suhu,(Celcius),23.5,0.67
